Нагатино-Садовники,КПРФ,Улитин Иван Владимирович
Нагатино-Садовники,КПРФ,Федоров Михаил Михайлович
Нагатино-Садовники,Единая Россия,Чуганова Азиза Кабыльбековна
Нагатинский Затон,СРЗП,Воронин Александр Александрович
Нагатинский Затон,Единая Россия,Головин Михаил Сергеевич
Нагатинский Затон,КПРФ,Горбачев Олег Константинович
Нагатинский Затон,Единая Россия,Горбунов Станислав Игоревич
Нагатинский Затон,КПРФ,Гордейко Мария Сергеевна
Нагатинский Затон,КПРФ,Калиничев Сергей Евгеньевич
Нагатинский Затон,Единая Россия,Коршунова Наталья Евгеньевна
Нагатинский Затон,Новые люди,Кузнецова Евгения Николаевна
Нагатинский Затон,Единая Россия,Кундыль Татьяна Евгеньевна
Нагатинский Затон,КПРФ,Назарова Олеся Игоревна
Нагатинский Затон,СРЗП,Перцев Сергей Вадимович
Нагатинский Затон,Единая Россия,Рузина Лидия Владимировна
Нагатинский Затон,КПРФ,Цуканов Андрей Борисович
Нагатинский Затон,СРЗП,Алексеева Валентина Михайловна
Нагатинский Затон,Единая Россия,Балыков Дмитрий Евгеньевич
Нагатинский Затон,Единая Россия,Башлыкова Мария Николаевна
Нагатинский Затон,Единая Россия,Быкова Юлия Валерьевна
Нагатинский Затон,Единая Россия,Винокуров Роман Евгеньевич
Нагатинский Затон,Единая Россия,Горемыкин Михаил Юрьевич
Нагатинский Затон,КПРФ,Зайцев Владислав Романович
Нагатинский Затон,КПРФ,Ичаев Магомед Абдулаевич
Нагатинский Затон,КПРФ,Каргина Татьяна Васильевна
Нагатинский Затон,СРЗП,Козьякова Мария Олеговна
Нагатинский Затон,Новые люди,Мартемьянов Дмитрий Сергеевич
Нагатинский Затон,КПРФ,Мохова Светлана Александровна
Нагатинский Затон,СРЗП,Паршиков Владимир Сергеевич
Нагатинский Затон,КПРФ,Сеталова Кристина Михайловна
Нагатинский Затон,Яблоко,Собянина Ирина Витальевна
Нагатинский Затон,Новые люди,Филин Сергей Владимирович
Нагатинский Затон,СРЗП,Шепелева Ксения Викторовна
Нагорный,КПРФ,Ваганов Константин Александрович
Нагорный,Единая Россия,Введенская Инна Васильевна
Нагорный,Единая Россия,Виноградова Елена Михайловна
Нагорный,КПРФ,Коробкова Ольга Николаевна
Нагорный,Единая Россия,Кульнев Дмитрий Владимирович
Нагорный,Новые люди,Мещеряков Денис Вячеславович
Нагорный,КПРФ,Могильный Александр Анатольевич
Нагорный,КПРФ,Никонов Павел Михайлович
Нагорный,Единая Россия,Рыгин Алексей Борисович
Нагорный,КПРФ,Шестакова Алла Владимировна
Нагорный,Единая Россия,Шутов Павел Викторович
Нагорный,КПРФ,Алиева Зарема Абдулселимовна
Нагорный,Новые люди,Березниченко Дмитрий Васильевич
Нагорный,Единая Россия,Бурова Екатерина Николаевна
Нагорный,Единая Россия,Горн Виктор Викторович
Нагорный,Новые люди,Дорогавцева Ирина Викторовна
Нагорный,КПРФ,Есенков Владислав Викторович
Нагорный,Единая Россия,Новикова Юлия Ивановна
Нагорный,КПРФ,Петухов Максим Витальевич
Нагорный,КПРФ,Пиотрович Юлия Викторовна
Нагорный,КПРФ,Сомова Светлана Станиславовна
Нагорный,Единая Россия,Тарасенко Ольга Вячеславовна
Нагорный,Единая Россия,Филиппова Татьяна Викторовна
Некрасовка,Единая Россия,Артемьев Александр Николаевич
Некрасовка,КПРФ,Белялов Марат Сергеевич
Некрасовка,КПРФ,Горбачев Артем Александрович
Некрасовка,Новые люди,Гребенников Руслан Борисович
Некрасовка,СРЗП,Кухарец Сергей Леонидович
Некрасовка,СРЗП,Олейник Любовь Вячеславовна
Некрасовка,КПРФ,Перевезенцев Дмитрий Анатольевич
Некрасовка,Единая Россия,Самбурова Анна Михайловна
Некрасовка,Единая Россия,Ухаботина Ирина Витальевна
Некрасовка,КПРФ,Шахназаров Никита Андреевич
Некрасовка,КПРФ,Антимонов Сергей Георгиевич
Некрасовка,Единая Россия,Булаева Майя Валерьевна
Некрасовка,КПРФ,Вареник Андрей Сергеевич
Некрасовка,Единая Россия,Воронина Виолетта Владимировна
Некрасовка,Единая Россия,Воскресенская Ольга Николаевна
Некрасовка,Самовыдвижение,Журавлёв Алексей Михайлович
Некрасовка,СРЗП,Захарова Вилена Сергеевна
Некрасовка,СРЗП,Кокорин Дмитрий Игоревич
Некрасовка,Новые люди,Лебедев Виталий Александрович
Некрасовка,Новые люди,Литвинова Мария Павловна
Некрасовка,Единая Россия,Пономаренко Марина Витальевна
Некрасовка,Единая Россия,Сискова Галина Сергеевна
Некрасовка,КПРФ,Становкин Андрей Андреевич
Некрасовка,КПРФ,Шомполова Юлия Николаевна
Некрасовка,СРЗП,Алатырцева Людмила Александровна
Некрасовка,СРЗП,Близнюк Екатерина Эдуардовна
Некрасовка,Единая Россия,Дегтярев Олег Николаевич
Некрасовка,КПРФ,Елбакиев Дмитрий Федорович
Некрасовка,КПРФ,Иваницкий Виктор Сергеевич
Некрасовка,СРЗП,Корольчук Алла Леонидовна
Некрасовка,Единая Россия,Лаврова Наталья Геннадиевна
Некрасовка,Единая Россия,Малютина Ольга Витальевна
Некрасовка,КПРФ,Медведев Алексей Васильевич
Некрасовка,Новые люди,Прочуханов Кирилл Константинович
Некрасовка,Единая Россия,Семенова Елена Николаевна
Некрасовка,Новые люди,Шувалов Антон Николаевич
Некрасовка,КПРФ,Шувалов Дмитрий Юрьевич
Некрасовка,ЛДПР,Карманова Диана Олеговна
Нижегородский,Новые люди,Алиев Роман Андреевич
Нижегородский,КПРФ,Бедрин Кирилл Валерьевич
Нижегородский,Единая Россия,Бондарева Елена Николаевна
Нижегородский,КПРФ,Брукер Илья Александрович
Нижегородский,КПРФ,Голембиовский Анжей Сергеевич
Нижегородский,Новые люди,Дыскин Михаил Михайлович
Нижегородский,Единая Россия,Ишкина Елена Михайловна
Нижегородский,КПРФ,Кусанов Алексей Владимирович
Нижегородский,СРЗП,Лептягин Дмитрий Иванович
Нижегородский,КПРФ,Лобов Иван Владимирович
Нижегородский,Новые люди,Никишкина Динара Хасанбоевна
Нижегородский,СРЗП,Паршин Борис Анатольевич
Нижегородский,Единая Россия,Пилипенко Наталия Николаевна
Нижегородский,Единая Россия,Ситников Андрей Владимирович
Нижегородский,Единая Россия,Финагин Василий Геннадьевич
Нижегородский,Единая Россия,Аперян Манвел Седракович
Нижегородский,Яблоко,Баландина Мария Олеговна
Нижегородский,СРЗП,Бренер Антон Валерьевич
Нижегородский,Единая Россия,Великонская Людмила Сергеевна
Нижегородский,Единая Россия,Данилова Юлия Владимировна
Нижегородский,Единая Россия,Здобнова Наталья Николаевна
Нижегородский,СРЗП,Лептягина Виктория Александровна
Нижегородский,Новые люди,Мартиросян Екатерина Акоповна
Нижегородский,СРЗП,Матвеева Елена Сергеевна
Нижегородский,Единая Россия,Туровская Анастасия Григорьевна
Новогиреево,Новые люди,Анохин Николай Владимирович
Новогиреево,КПРФ,Антипов Алексей Александрович
Новогиреево,Новые люди,Варламов Александр Владимирович
Новогиреево,КПРФ,Зарубина Юлия Витальевна
Новогиреево,СРЗП,Кочанова Татьяна Юрьевна
Новогиреево,КПРФ,Кузьменко Сергей Анатольевич
Новогиреево,Единая Россия,Лопухина Мария Вадимовна
Новогиреево,Новые люди,Мамедова Лейла Гюлоглаговна
Новогиреево,Новые люди,Мастеров Алексей Дмитриевич
Новогиреево,Единая Россия,Никитин Максим Николаевич
Новогиреево,Единая Россия,Притыкин Константин  Андреевич
Новогиреево,СРЗП,Саркисян Павел Степанович
Новогиреево,Единая Россия,Тимохин Дмитрий Владимирович
Новогиреево,КПРФ,Фонарев Михаил Алексеевич
Новогиреево,СРЗП,Шурлов Алексей Евгеньевич
Новогиреево,СРЗП,Алферов Иван Анатольевич
Новогиреево,Единая Россия,Боринец Вера Егоровна
Новогиреево,КПРФ,Боцман Вера Владимировна
Новогиреево,Яблоко,Духанин Игорь Андреевич
Новогиреево,Новые люди,Жданов Александр Сергеевич
Новогиреево,Единая Россия,Качалова Ольга Вячеславовна
Новогиреево,Единая Россия,Киселев Григорий Робертович
Новогиреево,Яблоко,Ковалёв Семён Юрьевич
Новогиреево,СРЗП,Куприянова Маргарита Игоревна
Новогиреево,КПРФ,Курочкина Екатерина Николаевна
Новогиреево,КПРФ,Нидзян Денис Маркович
Новогиреево,СРЗП,Никишов Алексей Александрович
Новогиреево,Новые люди,Новицкий Владимир Михайлович
Новогиреево,Новые люди,Пузиков Дмитрий Сергеевич
Новогиреево,КПРФ,Рябов Алексей Александрович
Новогиреево,Единая Россия,Чулкова Елена Николаевна
Новогиреево,КПРФ,Беляев Илья Романович
Новогиреево,КПРФ,Березовская Анастасия Алексеевна
Новогиреево,Единая Россия,Бодриков Игорь Владимирович
Новогиреево,Самовыдвижение,Володин Олег Николаевич
Новогиреево,Единая Россия,Дмитриева Марина Юрьевна
Новогиреево,Новые люди,Кильдюшкин Андрей Владимирович
Новогиреево,Новые люди,Колисниченко Татьяна Юрьевна
Новогиреево,Самовыдвижение,Королев Александр Михайлович
Новогиреево,СРЗП,Кравченко Леонид Анатольевич
Новогиреево,Новые люди,Курдыдык Анна Павловна
Новогиреево,Самовыдвижение,Лобанов Михаил Петрович
Новогиреево,СРЗП,Мамонтова Анна Владимировна
Новогиреево,Самовыдвижение,Никитин Василий Николаевич
Новогиреево,КПРФ,Попкова Екатерина Игоревна
Новогиреево,КПРФ,Столова Анастасия Викторовна
Новогиреево,Новые люди,Трегубова Анастасия Александровна
Новогиреево,Единая Россия,Чикунов Владимир Михайлович
Новогиреево,Единая Россия,Шлепина Эльвира Ивановна
Новогиреево,Субъект выдвижения неизвестен,Алейник Андрей Владимирович
Новогиреево,Субъект выдвижения неизвестен,Зверева Софья Михайловна
Новогиреево,Субъект выдвижения неизвестен,Королева Софья Михайловна
Новокосино,Новые люди,Афанасьева Ольга Александровна
Новокосино,КПРФ,Борисова Анна Андреевна
Новокосино,СРЗП,Васильева Галина Викторовна
Новокосино,Новые люди,Вахруев Дмитрий Викторович
Новокосино,Единая Россия,Голубкова Марина Михайловна
Новокосино,СРЗП,Гончуков Максим Вячеславович
Новокосино,КПРФ,Елизарова Наталья Михайловна
Новокосино,Единая Россия,Казакова Инна Владимировна
Новокосино,СРЗП,Орлова Кристина Владимировна
Новокосино,КПРФ,Рябиновская Юлия Александровна
Новокосино,Единая Россия,Рябова Елена Владимировна
Новокосино,Единая Россия,Худайбердин Дамир Шамилевич
Новокосино,КПРФ,Яковлева Алёна Алексеевна
Новокосино,КПРФ,Безруков Олег Алексеевич
Новокосино,Единая Россия,Бокова Юлия Юрьевна
Новокосино,Новые люди,Власкин Александр Геннадьевич
Новокосино,Единая Россия,Воронина Татьяна Васильевна
Новокосино,СРЗП,Карягин Владимир Валерьевич
Новокосино,Единая Россия,Кузьмичев Григорий Дмитриевич
Новокосино,СРЗП,Лабутин Алексей Борисович
Новокосино,КПРФ,Ляпин Сергей Владимирович
Новокосино,КПРФ,Манюхина Наталья Борисовна
Новокосино,КПРФ,Морозова Виктория Юрьевна
Новокосино,Новые люди,Сарычихин Алексей Анатольевич
Новокосино,Единая Россия,Смирнова Ольга Семеновна
Новокосино,Единая Россия,Ахметов Айдар Мансурович
Новокосино,Единая Россия,Виноградова Светлана Сергеевна
Новокосино,СРЗП,Волков Дмитрий Александрович
Новокосино,КПРФ,Голубчиков Дмитрий Викторович
Новокосино,КПРФ,Евдокименко Евгений Тимофеевич
Новокосино,Новые люди,Золотов Кирилл Александрович
Новокосино,Новые люди,Ибрагимов Вилен Артурович
Новокосино,КПРФ,Ковалев Андрей Александрович
Новокосино,Единая Россия,Кулагин Александр Сергеевич
Новокосино,КПРФ,Малюшкин Роман Юрьевич
Новокосино,Единая Россия,Семенова Светлана Вячеславовна
Новокосино,Новые люди,Трофимов Василий Викторович
Ново-Переделкино,СРЗП,Аданькин Андрей Матвеевич
Ново-Переделкино,КПРФ,Бузов Алексей Александрович
Ново-Переделкино,Самовыдвижение,Булаковский Александр Евгеньевич
Ново-Переделкино,Самовыдвижение,Водянович Андрей Евгеньевич
Ново-Переделкино,Единая Россия,Кузнецова Елена Ивановна
Ново-Переделкино,Новые люди,Островкин Владимир Сергеевич
Ново-Переделкино,КПРФ,Петрусенко Вера Павловна
Ново-Переделкино,Единая Россия,Рогов Илья Евгеньевич
Ново-Переделкино,Единая Россия,Саблин Антон Дмитриевич
Ново-Переделкино,КПРФ,Селифанов Андрей Игоревич
Ново-Переделкино,Самовыдвижение,Улюкин Артём Сергеевич
Ново-Переделкино,Новые люди,Хамиди Лина
Ново-Переделкино,Единая Россия,Чужмарова Тамара Ибрагимовна
Ново-Переделкино,Единая Россия,Шатова Елена Леонидовна
Ново-Переделкино,Единая Россия,Веселова Александра Валерьевна
Ново-Переделкино,Новые люди,Грачев Никита Николаевич
Ново-Переделкино,КПРФ,Григорьев Николай Алексеевич
Ново-Переделкино,Самовыдвижение,Долголаптева Кристина Олеговна
Ново-Переделкино,Единая Россия,Зубавин Петр Михайлович
Ново-Переделкино,Единая Россия,Ильина Наталья Владимировна
Ново-Переделкино,Единая Россия,Краснопольская Светлана Михайловна
Ново-Переделкино,Самовыдвижение,Лапин Глеб Александрович
Ново-Переделкино,Единая Россия,Митрофанов Анатолий Викторович
Ново-Переделкино,КПРФ,Селифанов Дмитрий Игоревич
Ново-Переделкино,СРЗП,Тришин Сергей Юрьевич
Ново-Переделкино,СРЗП,Фисенко Владимир Александрович
Ново-Переделкино,СРЗП,Шкиотов Виталий Максимович
Ново-Переделкино,Новые люди,Шкурский Дмитрий Александрович
Ново-Переделкино,Самовыдвижение,Мамедова Гандаф Фазил кызы
Обручевский,КПРФ,Андреенко Петр Михайлович
Обручевский,Мой район,Буфетова Зинаида Михайловна
Обручевский,Единая Россия,Горизонтова Ирина Алексеевна
Обручевский,Единая Россия,Закирова Ильнара Зуфяровна
Обручевский,Новые люди,Коновалов Роман Константинович
Обручевский,Единая Россия,Константинова Марина Ивановна
Обручевский,Новые люди,Нежведилов Аслан Зейдулахович
Обручевский,СРЗП,Некрасов Александр Михайлович
Обручевский,СРЗП,Расулов Магомед Багатырович
Обручевский,Единая Россия,Сметлев Василий Сергеевич
Обручевский,Единая Россия,Тимофеева Ольга Николаевна
Обручевский,Новые люди,Титов Анатолий Игоревич
Обручевский,КПРФ,Тув Анна Геннадьевна
Обручевский,Мой район,Бесштанько Андрей Владимирович
Обручевский,КПРФ,Галенкин Роман Максимович
Обручевский,Новые люди,Дорченков Данил Валерьевич
Обручевский,Единая Россия,Евсеева Мария Владимировна
Обручевский,Единая Россия,Зюбин Андрей Владимирович
Обручевский,Единая Россия,Луговская Марина Игоревна
Обручевский,Новые люди,Маковеев Сергей Сергеевич
Обручевский,Единая Россия,Мурашкина Марина Вячеславовна
Обручевский,Мой район,Норенко Елена Ивановна
Обручевский,Единая Россия,Романов Владимир Афанасьевич
Обручевский,КПРФ,Хон Ирина Михайловна
Обручевский,Субъект выдвижения неизвестен,Луговской Кирилл Игоревич
Орехово-Борисово Северное,Единая Россия,Дмитриева Наталия Николаевна
Орехово-Борисово Северное,Единая Россия,Заплатникова Людмила Викторовна
Орехово-Борисово Северное,Единая Россия,Коннова Елена Львовна
Орехово-Борисово Северное,КПРФ,Кузнецов Матвей Борисович
Орехово-Борисово Северное,Единая Россия,Лапланш Елена Львовна
Орехово-Борисово Северное,Новые люди,Малыгин Даниил Владимирович
Орехово-Борисово Северное,Единая Россия,Мордовин Андрей Юрьевич
Орехово-Борисово Северное,КПРФ,Низов Алексей Владимирович
Орехово-Борисово Северное,КПРФ,Разумович Владимир Евгеньевич
Орехово-Борисово Северное,Новые люди,Федотов Андрей Александрович
Орехово-Борисово Северное,Единая Россия,Баранчикова Наталья Алексеевна
Орехово-Борисово Северное,КПРФ,Гаврилин Дмитрий Юрьевич
Орехово-Борисово Северное,КПРФ,Гоголева Татьяна Викторовна
Орехово-Борисово Северное,КПРФ,Добровольский Алексей Юрьевич
Орехово-Борисово Северное,Единая Россия,Долгашова Галина Георгиевна
Орехово-Борисово Северное,Единая Россия,Ежкова Анна Александровна
Орехово-Борисово Северное,СРЗП,Кульшенко Елена Викторовна
Орехово-Борисово Северное,Единая Россия,Кускова Надежда Юрьевна
Орехово-Борисово Северное,Единая Россия,Сысоева Людмила Анатольевна
Орехово-Борисово Северное,СРЗП,Черепенина Наталья Евгеньевна
Орехово-Борисово Северное,СРЗП,Шмагин Юрий Александрович
Орехово-Борисово Южное,СРЗП,Борзова Юлия Владимировна
Орехово-Борисово Южное,Единая Россия,Глотова Ирина Борисовна
Орехово-Борисово Южное,Единая Россия,Демченков Максим Леонидович
Орехово-Борисово Южное,Новые люди,Дурдыева Айгюль Байрамбердиевна
Орехово-Борисово Южное,СРЗП,Зязин Иван Иванович
Орехово-Борисово Южное,Единая Россия,Нефедова Светлана Юрьевна
Орехово-Борисово Южное,Единая Россия,Новосельская Людмила Александровна
Орехово-Борисово Южное,СРЗП,Плаксин Андрей Борисович
Орехово-Борисово Южное,Яблоко,Поцхверашвили Леван Павлович
Орехово-Борисово Южное,Единая Россия,Ткач Ирина Петровна
Орехово-Борисово Южное,Единая Россия,Донская Татьяна Викторовна
Орехово-Борисово Южное,Единая Россия,Золкина Ирина Вячеславовна
Орехово-Борисово Южное,СРЗП,Колесников Алексей Михайлович
Орехово-Борисово Южное,Единая Россия,Комиссарова Альбина Анатольевна
Орехово-Борисово Южное,Единая Россия,Овчинникова Светлана Юрьевна
Орехово-Борисово Южное,КПРФ,Омельченко Роман Юрьевич
Орехово-Борисово Южное,СРЗП,Павлова Юлия Владимировна
Орехово-Борисово Южное,КПРФ,Попова Ирина Александровна
Орехово-Борисово Южное,Новые люди,Поташевская Анастасия Владимировна
Орехово-Борисово Южное,КПРФ,Приходько Владимир Юрьевич
Орехово-Борисово Южное,СРЗП,Рязанцев Виктор Юрьевич
Орехово-Борисово Южное,КПРФ,Сорокин Игорь Сергеевич
Орехово-Борисово Южное,КПРФ,Червонцев Алексей Алексеевич
Орехово-Борисово Южное,Единая Россия,Яшкин Андрей Петрович
Орехово-Борисово Южное,Субъект выдвижения неизвестен,Жаворонков Алексей
Останкинский,СРЗП,Балабанова Екатерина Андреевна
Останкинский,Единая Россия,Борматова Жанна Георгиевна
Останкинский,СРЗП,Бородаев Михаил Юрьевич
Останкинский,КПРФ,Голованов Евгений Александрович
Останкинский,Единая Россия,Гусаков Владимир Альбертович
Останкинский,Самовыдвижение,Кезин Михаил Сергеевич
Останкинский,Единая Россия,Лапин Александр Андреевич
Останкинский,Единая Россия,Макаренко Сергей Петрович
Останкинский,КПРФ,Прохорова Ксения Александровна
Останкинский,КПРФ,Силуянов Алексей Валерьевич
Останкинский,СРЗП,Смирнов Петр Андреевич
Останкинский,КПРФ,Тизенгольт Никита Олегович
Останкинский,Единая Россия,Бояркина Юлия Владимировна
Останкинский,СРЗП,Васильев Сергей Амурабиевич
Останкинский,КПРФ,Веселов Алексей Борисович
Останкинский,Единая Россия,Жаркова Юлия Алексеевна
Останкинский,Яблоко,Кириков Павел Дмитриевич
Останкинский,Единая Россия,Никишина Светлана Александровна
Останкинский,СРЗП,Ризванов Рушан Олегович
Останкинский,КПРФ,Степанов Михаил Вячеславович
Останкинский,Яблоко,Точилова Елена Владимировна
Останкинский,Единая Россия,Турищев Иван Алексеевич
Останкинский,Яблоко,Бадамшина Римма Рахимовна
Останкинский,Единая Россия,Бандурова Валентина Владимировна
Останкинский,СРЗП,Визгин Алексей Александрович
Останкинский,КПРФ,Волынцев Павел Алексеевич
Останкинский,КПРФ,Гайдуков Денис Олегович
Останкинский,КПРФ,Егорова Саида Самировна
Останкинский,Единая Россия,Живитченко Геннадий Анатольевич
Останкинский,Новые люди,Карпушин Виктор Викторович
Останкинский,Яблоко,Колесник Антон Валерьевич
Останкинский,КПРФ,Кузнецова Наталья Юрьевна
Останкинский,СРЗП,Мячина Ольга Александровна
Останкинский,Единая Россия,Сульдина Татьяна Владимировна
Останкинский,Самовыдвижение,Цукасов Сергей Сергеевич
Останкинский,Единая Россия,Чеглов Артем Александрович
Останкинский,Субъект выдвижения неизвестен,Бакулина Валентина
Отрадное,Единая Россия,Андросов Валентин Михайлович
Отрадное,Единая Россия,Григорьев Дмитрий Викторович
Отрадное,Единая Россия,Замуруева Ольга Викторовна
Отрадное,КПРФ,Изофенко Руслан Николаевич
Отрадное,КПРФ,Киселев Илья Витальевич
Отрадное,КПРФ,Князева Любовь Алексеевна
Отрадное,Яблоко,Назаренко Сергей Викторович
Отрадное,СРЗП,Полянская Светлана Александровна
Отрадное,Новые люди,Фитхулин Максим Эдуардович
Отрадное,Единая Россия,Югай Наталия Маратовна
Отрадное,Яблоко,Боровский Руслан Александрович
Отрадное,Яблоко,Воробьев Дмитрий Даниилович
Отрадное,Единая Россия,Воробьева Яна Владимировна
Отрадное,КПРФ,Гриненко Артём Николаевич
Отрадное,СРЗП,Грицай Дмитрий Сергеевич
Отрадное,СРЗП,Дубинина Анна Эмировна
Отрадное,КПРФ,Ишаев Камил Олегович
Отрадное,Единая Россия,Костин Евгений Юрьевич
Отрадное,Новые люди,Косушкин Александр Геннадьевич
Отрадное,Новые люди,Литвиновский Евгений Михайлович
Отрадное,Единая Россия,Ляпичева Ольга Викторовна
Отрадное,Новые люди,Ремнев Никита Александрович
Отрадное,Единая Россия,Сазонова Наталья Николаевна
Отрадное,СРЗП,Скрипник Дмитрий Алексеевич
Отрадное,СРЗП,Шакин Валерий Васильевич
Отрадное,Единая Россия,Антипина Мария Александровна
Отрадное,Единая Россия,Бельцева Ольга Александровна
Отрадное,Единая Россия,Денисова Марина Сергеевна
Отрадное,Самовыдвижение,Захаров Илья Александрович
Отрадное,Единая Россия,Коробейников Егор Русланович
Отрадное,КПРФ,Студенцова Юлия Олеговна
Отрадное,Новые люди,Шарыпин Руслан Сергеевич
Отрадное,КПРФ,Акимов Александр Дмитриевич
Отрадное,Единая Россия,Аллянов Александр Владимирович
Отрадное,Новые люди,Вишневский Олег Владимирович
Отрадное,Единая Россия,Воробьев Александр Валентинович
Отрадное,Единая Россия,Жильцов Алексей Вячеславович
Отрадное,КПРФ,Меньшенин Павел Владимирович
Отрадное,СРЗП,Орешников Александр Юрьевич
Отрадное,Новые люди,Пугачев Никита Максимович
Отрадное,Единая Россия,Шильников Алексей Михайлович
Отрадное,СРЗП,Эльпер Евгений Яковлевич
Очаково-Матвеевское,СРЗП,Абрамова Евгения Валерьевна
Очаково-Матвеевское,Единая Россия,Батиевский Валентин Валентинович
Очаково-Матвеевское,СРЗП,Горкина Арина Викторовна
Очаково-Матвеевское,СРЗП,Киселенко Александр Андреевич
Очаково-Матвеевское,СРЗП,Манькова Дарья Алексеевна
Очаково-Матвеевское,Единая Россия,Михайлова Светлана Александровна
Очаково-Матвеевское,КПРФ,Мишустин Николай Николаевич
Очаково-Матвеевское,Единая Россия,Новиков Сергей Афонасьевич
Очаково-Матвеевское,СРЗП,Пирожкова Татьяна Владимировна
Очаково-Матвеевское,Единая Россия,Приходько Ольга Владимировна
Очаково-Матвеевское,Самовыдвижение,Стекольников Валентин Юрьевич
Очаково-Матвеевское,Единая Россия,Чернов Кирилл Вячеславович
Очаково-Матвеевское,Новые люди,Бессонов Павел Сергеевич
Очаково-Матвеевское,КПРФ,Величко Юрий Алексеевич
Очаково-Матвеевское,Новые люди,Вертеховская Екатерина Сергеевна
Очаково-Матвеевское,СРЗП,Гавриш Оксана Михайловна
Очаково-Матвеевское,Единая Россия,Гунченко Марина Михайловна
Очаково-Матвеевское,СРЗП,Константинова Ольга Сергеевна
Очаково-Матвеевское,КПРФ,Куликов Сергей Сергеевич
Очаково-Матвеевское,СРЗП,Ларионов Сергей Викторович
Очаково-Матвеевское,Новые люди,Лебедева Елизавета Владимировна
Очаково-Матвеевское,КПРФ,Медведев Геннадий Александрович
Очаково-Матвеевское,Единая Россия,Новикова Тамара Васильевна
Очаково-Матвеевское,СРЗП,Пузачев Федор Семенович
Очаково-Матвеевское,Единая Россия,Рассаднева Марина Павловна
Очаково-Матвеевское,Единая Россия,Саночкин Алексей Васильевич
Очаково-Матвеевское,КПРФ,Скорняков Владимир Николаевич
Очаково-Матвеевское,КПРФ,Чеп Владимир Александрович
Очаково-Матвеевское,Самовыдвижение,Черкезова Варвара Максимовна
Очаково-Матвеевское,Единая Россия,Чернов Кирилл Валерьевич
Очаково-Матвеевское,СРЗП,Шехетов Антон Анатольевич
Перово,Единая Россия,Аксенов Денис Сергеевич
Перово,КПРФ,Алымов Алексей Иванович
Перово,КПРФ,Байбулов Даулет Бауржанович
Перово,СРЗП,Губернаторов Марк Владимирович
Перово,Единая Россия,Емельяненко Григорий Владимирович
Перово,Единая Россия,Иноземцева Ксения Олеговна
Перово,СРЗП,Карватский Антон Игоревич
Перово,СРЗП,Карев Сергей Владимирович
Перово,КПРФ,Ковалев Андрей Борисович
Перово,СРЗП,Комурин Олег Игоревич
Перово,Яблоко,Савинов Сергей Владимирович
Перово,Единая Россия,Тюрин Андрей Викторович
Перово,КПРФ,Алиев Ровшан Мамедович
Перово,КПРФ,Андреев Александр Николаевич
Перово,Единая Россия,Афанасьев Роман Геннадьевич
Перово,Единая Россия,Вихрачева Маргарита Владимировна
Перово,Единая Россия,Зимин Павел Игоревич
Перово,Единая Россия,Исаев Дмитрий Викторович
Перово,СРЗП,Кочергин Владислав Сергеевич
Перово,СРЗП,Кудрин Олег Игоревич
Перово,КПРФ,Москаленко Анатолий Владимирович
Перово,СРЗП,Москвичев Анатолий Павлович
Перово,КПРФ,Петров Михаил Владимирович
Перово,СРЗП,Трифонова Анна Георгиевна
Перово,КПРФ,Барышева Ирина Васильевна
Перово,Единая Россия,Гурченкова Анна Александровна
Перово,СРЗП,Елисеев Андрей Юрьевич
Перово,Новые люди,Костюхина Ольга Сергеевна
Перово,Единая Россия,Луканова Лариса Александровна
Перово,СРЗП,Медведков Андрей Александрович
Перово,КПРФ,Рогозинский Михаил Алексеевич
Перово,Самовыдвижение,Селиванова Дарья Александровна
Перово,Единая Россия,Сучков Андрей Викторович
Перово,Новые люди,Устинова Ольга Борисовна
Перово,Новые люди,Чулюкин Артем Васильевич
Перово,Новые люди,Щербаков Игорь Владимирович
Перово,Единая Россия,Яковлева Татьяна Владимировна
Печатники,КПРФ,Абасзаде Сирус Ниязович
Печатники,Новые люди,Абдуллаев Руслан Мехманович
Печатники,КПРФ,Байдала Валерия Владимировна
Печатники,КПРФ,Бирюков Егор Михайлович
Печатники,Единая Россия,Гордеев Денис Иванович
Печатники,Единая Россия,Дулова Александра Владимировна
Печатники,Единая Россия,Кузнецова Алла Рафаилевна
Печатники,Единая Россия,Лопатынская Ирина Сергеевна
Печатники,Новые люди,Марьинский Константин Алексеевич
Печатники,Новые люди,Соцков Максим Владимирович
Печатники,Новые люди,Томенюк Мария Васильевна
Печатники,КПРФ,Тютрина Татьяна Васильевна
Печатники,Единая Россия,Шепелева Виктория Вячеславовна
Печатники,КПРФ,Щипило Андрей Александрович
Печатники,Новые люди,Билялов Мубин Харисович
Печатники,КПРФ,Борисов Игорь Алексеевич
Печатники,КПРФ,Бурмистров Дмитрий Валентинович
Печатники,КПРФ,Герасимов Максим Андреевич
